governate,area,lat,lng,services
Al-Gharbia,Tanta,30.78020191,31.01075553,1.0
Al-Gharbia,Zefta,30.71413428,31.24904626,1.0
Al-Gharbia,Zefta,30.71235434,31.24754813,1.0
Al-Gharbia,Zefta,30.80125091,31.21020188,1.0
Al-Gharbia,Zefta,30.79191647,31.16947357,1.0
Al-Gharbia,Zefta,30.69986094,31.25271356,1.0
Al-Gharbia,Zefta,30.71034997,31.25036718,3.0
Al-Gharbia,Zefta,30.71317231,31.24322923,1.0
Al-Gharbia,Zefta,30.71318044,31.24311345,1.0
Al-Gharbia,Zefta,30.84702629,31.1974472,3.0
Al-Gharbia,Zefta,30.71235434,31.24754813,1.0
Al-Gharbia,Zefta,30.80125091,31.21020188,1.0
Al-Gharbia,Zefta,30.79191647,31.16947357,3.0
Al-Gharbia,Zefta,30.71318044,31.24311345,1.0
Al-Gharbia,Zefta,30.71317231,31.24322923,1.0
Al-Menia,Abu Kerkas,27.93478075,30.8193743,1.0
Al-Menia,Abu Kerkas,27.93200703,30.82132265,3.0
Al-Menia,Abu Kerkas,27.92566223,30.81930375,1.0
Al-Menia,Abu Kerkas,27.93947437,30.82362322,1.0
Al-Menia,Abu Kerkas,27.92801188,30.81946122,1.0
Al-Menia,Abu Kerkas,27.93002254,30.82199295,3.0
Al-Menia,Abu Kerkas,27.92024435,30.69838252,3.0
Al-Menia,Abu Kerkas,27.93174553,30.83314367,3.0
Al-Menia,Abu Kerkas,27.93947437,30.82362322,3.0
Al-Menia,Abu Kerkas,27.93478075,30.8193743,3.0
Al-Menia,Abu Kerkas,27.92801188,30.81946122,3.0
Al-Menia,Abu Kerkas,27.92566223,30.81930375,3.0
Al-Menia,Almenia Algadida,28.0835967,30.80347317,3.0
Al-Menia,Almenia Algadida,28.10044298,30.79880427,1.0
Al-Menia,Almenia Algadida,28.07942301,30.82186121,1.0
Al-Menia,Almenia Algadida,28.09272564,30.81185239,1.0
Al-Menia,Bani Mazar,28.49495827,30.80570606,1.0
Al-Menia,Bani Mazar,28.50392065,30.80230138,1.0
Al-Menia,Bani Mazar,28.49492709,30.81309101,1.0
Al-Menia,Bani Mazar,28.49746994,30.80446773,1.0
Al-Menia,Bani Mazar,28.49436977,30.8070144,3.0
